Winkel Volumen Druck Temperatur 
325 99.19946368015324 9.541319200911786 551.4604768899071
326 96.44676797376539 9.92465272141704 557.6987105088559
327 93.75842851664086 10.325239237933468 564.0363393758854
328 91.1357423616824 10.743529119272406 570.4693864499042
329 88.57997745721445 11.179900839958373 576.9924888941063
330 86.09237178165456 11.634660473797021 583.599658694901
331 83.67413250274423 12.108021170038148 590.2840287987441
332 81.32643516169593 12.600069796908896 597.0371142911179
333 79.05042288256821 13.110766750983272 603.8498062470056
334 76.84720560715456 13.639902414939943 610.7113421075107
335 74.71785935563842 14.187076046811535 617.6094896088933
336 72.66342551323461 14.751683864006056 624.5311531499208
337 70.6849101430177 15.33285563374934 631.4608058689759
338 68.78328332510246 15.929459460029777 638.3819285113585
339 66.95947852232982 16.540058508468213 645.2763482026268
